Uniprot	description	markers	svm	svm.scores	final.assignment
P21796	Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2 - [VDAC1_HUMAN]	unknown	MITOCHONDRION	0.76779147700000006	MITOCHONDRION
P62937	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2 - [PPIA_HUMAN]	unknown	CYTOSOL	0.815831527	unknown
P11586	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3 - [C1TC_HUMAN]	unknown	RIBOSOME 60S	0.708712793	RIBOSOME 60S
P61224	Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1 - [RAP1B_HUMAN]	unknown	PM	0.937165539	PM
Q8NFU3	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1 OS=Homo sapiens GN=TSTD1 PE=1 SV=3 - [TSTD1_HUMAN]	unknown	MITOCHONDRION	0.492743498	unknown
Q9Y3I0	tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1 - [RTCB_HUMAN]	unknown	NUCLEUS	0.518754408	NUCLEUS
P42765	3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2 - [THIM_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1 - [HSP7C_HUMAN]	unknown	CYTOSOL	0.716201971	unknown
P07237	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3 - [PDIA1_HUMAN]	ER	ER	1	ER
P21333-2	Isoform 2 of Filamin-A OS=Homo sapiens GN=FLNA - [FLNA_HUMAN]	unknown	MITOCHONDRION	0.347230458	unknown
Q99623	Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2 - [PHB2_HUMAN]	unknown	MITOCHONDRION	0.944919484	MITOCHONDRION
Q9Y281-3	Isoform 3 of Cofilin-2 OS=Homo sapiens GN=CFL2 - [COF2_HUMAN]	unknown	CYTOSOL	0.259776292	unknown
Q9UFG5	UPF0449 protein C19orf25 OS=Homo sapiens GN=C19orf25 PE=1 SV=2 - [CS025_HUMAN]	unknown	PM	0.493528731	unknown
P25786	Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1 - [PSA1_HUMAN]	PROTEASOME	PROTEASOME	1	PROTEASOME
P07355	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]	unknown	PM	0.838810097	PM
P26038	Moesin OS=Homo sapiens GN=MSN PE=1 SV=3 - [MOES_HUMAN]	unknown	PM	0.661525018	unknown
P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1 - [RLA0_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
P21281	V-type proton ATPase subunit B, brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3 - [VATB2_HUMAN]	unknown	PM	0.467482208	unknown
P40926	Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3 - [MDHM_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q15286	Ras-related protein Rab-35 OS=Homo sapiens GN=RAB35 PE=1 SV=1 - [RAB35_HUMAN]	unknown	PM	0.938416407	PM
Q9H299	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1 - [SH3L3_HUMAN]	unknown	CYTOSOL	0.877826281	unknown
P60981-2	Isoform 2 of Destrin OS=Homo sapiens GN=DSTN - [DEST_HUMAN]	unknown	CYTOSOL	0.409120529	unknown
P54819-2	Isoform 2 of Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 - [KAD2_HUMAN]	unknown	MITOCHONDRION	0.9573868	MITOCHONDRION
Q15369	Transcription elongation factor B polypeptide 1 OS=Homo sapiens GN=TCEB1 PE=1 SV=1 - [ELOC_HUMAN]	unknown	CYTOSOL	0.651396378	unknown
Q99653	Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3 - [CHP1_HUMAN]	unknown	ER	0.899518928	unknown
P07437	Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2 - [TBB5_HUMAN]	unknown	CYTOSOL	0.796745234	unknown
P62072	Mitochondrial import inner membrane translocase subunit Tim10 OS=Homo sapiens GN=TIMM10 PE=1 SV=1 - [TIM10_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P05787	Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]	unknown	NUCLEUS	0.636516357	NUCLEUS
Q96C01	Protein FAM136A OS=Homo sapiens GN=FAM136A PE=1 SV=1 - [F136A_HUMAN]	unknown	MITOCHONDRION	0.958913977	MITOCHONDRION
P61586	Transforming protein RhoA OS=Homo sapiens GN=RHOA PE=1 SV=1 - [RHOA_HUMAN]	unknown	PM	0.422010681	unknown
Q86UP2	Kinectin OS=Homo sapiens GN=KTN1 PE=1 SV=1 - [KTN1_HUMAN]	ER	ER	1	ER
P62244	40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2 - [RS15A_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P09455	Retinol-binding protein 1 OS=Homo sapiens GN=RBP1 PE=1 SV=2 - [RET1_HUMAN]	unknown	CYTOSOL	0.92097457	CYTOSOL
O75223	Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1 - [GGCT_HUMAN]	unknown	CYTOSOL	0.898017268	CYTOSOL
O75947	ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3 - [ATP5H_HUMAN]	unknown	MITOCHONDRION	0.946530489	MITOCHONDRION
P67936	Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4 PE=1 SV=3 - [TPM4_HUMAN]	unknown	CYTOSOL	0.759690105	unknown
P51149	Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1 - [RAB7A_HUMAN]	unknown	PM	0.802092528	unknown
P35579	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN]	unknown	MITOCHONDRION	0.596941683	unknown
P35908	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]	unknown	MITOCHONDRION	0.196006277	unknown
Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3 - [FKBP4_HUMAN]	unknown	CYTOSOL	0.922381255	CYTOSOL
P47756-2	Isoform 2 of F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB - [CAPZB_HUMAN]	unknown	PROTEASOME	0.254816526	unknown
Q7Z4W1	L-xylulose reductase OS=Homo sapiens GN=DCXR PE=1 SV=2 - [DCXR_HUMAN]	unknown	MITOCHONDRION	0.935142149	MITOCHONDRION
P30041	Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3 - [PRDX6_HUMAN]	unknown	CYTOSOL	0.896284461	CYTOSOL
Q9UBI6	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3 - [GBG12_HUMAN]	unknown	PM	0.847486793	PM
Q13268	Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens GN=DHRS2 PE=1 SV=4 - [DHRS2_HUMAN]	unknown	MITOCHONDRION	0.957946345	MITOCHONDRION
Q15417	Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1 - [CNN3_HUMAN]	unknown	CYTOSOL	0.176820537	unknown
Q9Y224	UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1 - [CN166_HUMAN]	unknown	NUCLEUS	0.472628627	NUCLEUS
P09651-2	Isoform A1-A of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 - [ROA1_HUMAN]	unknown	NUCLEUS	0.704550854	NUCLEUS
Q9NWV4	UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1 - [CA123_HUMAN]	unknown	CYTOSOL	0.744293957	unknown
O43768	Alpha-endosulfine OS=Homo sapiens GN=ENSA PE=1 SV=1 - [ENSA_HUMAN]	unknown	CYTOSOL	0.871746252	unknown
P07951	Tropomyosin beta chain OS=Homo sapiens GN=TPM2 PE=1 SV=1 - [TPM2_HUMAN]	unknown	CYTOSOL	0.657362341	unknown
P06576	ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 - [ATPB_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
O95182	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens GN=NDUFA7 PE=1 SV=3 - [NDUA7_HUMAN]	unknown	MITOCHONDRION	0.951479325	MITOCHONDRION
P11021	78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2 - [GRP78_HUMAN]	unknown	ER	0.965089173	ER
P62258	14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1 - [1433E_HUMAN]	unknown	CYTOSOL	0.829044994	unknown
P18669	Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2 - [PGAM1_HUMAN]	unknown	CYTOSOL	0.912879408	CYTOSOL
P68104	Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 - [EF1A1_HUMAN]	unknown	RIBOSOME 60S	0.33199287	unknown
O14950	Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2 - [ML12B_HUMAN]	unknown	MITOCHONDRION	0.527207374	unknown
P14854	Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2 - [CX6B1_HUMAN]	unknown	MITOCHONDRION	0.952118678	MITOCHONDRION
P17844	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1 - [DDX5_HUMAN]	NUCLEUS	NUCLEUS	1	NUCLEUS
Q13347	Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1 - [EIF3I_HUMAN]	unknown	PROTEASOME	0.295183628	unknown
P25705	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1 - [ATPA_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q9Y2B0	Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1 - [CNPY2_HUMAN]	ER	ER	1	ER
P18206-2	Isoform 1 of Vinculin OS=Homo sapiens GN=VCL - [VINC_HUMAN]	unknown	CYTOSOL	0.881736401	unknown
Q15181	Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2 - [IPYR_HUMAN]	unknown	CYTOSOL	0.90236594	CYTOSOL
P14625	Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1 - [ENPL_HUMAN]	unknown	ER	0.96667386	ER
Q9UQ80	Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3 - [PA2G4_HUMAN]	unknown	RIBOSOME 40S	0.563249509	unknown
Q05639	Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1 - [EF1A2_HUMAN]	unknown	RIBOSOME 60S	0.696958108	RIBOSOME 60S
Q07065	Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2 - [CKAP4_HUMAN]	unknown	ER	0.885651878	unknown
P14618	Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]	unknown	PROTEASOME	0.488694754	unknown
P14927	Cytochrome b-c1 complex subunit 7 OS=Homo sapiens GN=UQCRB PE=1 SV=2 - [QCR7_HUMAN]	unknown	MITOCHONDRION	0.952320765	MITOCHONDRION
P62829	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1 - [RL23_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
Q9GZT3	SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens GN=SLIRP PE=1 SV=1 - [SLIRP_HUMAN]	unknown	MITOCHONDRION	0.951241848	MITOCHONDRION
Q99497	Protein deglycase DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2 - [PARK7_HUMAN]	unknown	CYTOSOL	0.808759259	unknown
P0DMV8	Heat shock 70 kDa protein 1A OS=Homo sapiens GN=HSPA1A PE=1 SV=1 - [HS71A_HUMAN]	unknown	CYTOSOL	0.831805837	unknown
Q99832	T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2 - [TCPH_HUMAN]	unknown	PROTEASOME	0.490997939	unknown
P07919	Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens GN=UQCRH PE=1 SV=2 - [QCR6_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q14019	Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3 - [COTL1_HUMAN]	unknown	CYTOSOL	0.907691934	CYTOSOL
Q14697	Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3 - [GANAB_HUMAN]	unknown	ER	0.950903831	ER
P09382	Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2 - [LEG1_HUMAN]	unknown	CYTOSOL	0.903910833	CYTOSOL
Q13813-3	Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 - [SPTN1_HUMAN]	unknown	ER	0.748863289	unknown
P05783	Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2 - [K1C18_HUMAN]	unknown	NUCLEUS	0.652310961	NUCLEUS
Q13813-2	Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 - [SPTN1_HUMAN]	unknown	ER	0.782741051	unknown
P50991	T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4 - [TCPD_HUMAN]	unknown	PROTEASOME	0.624882317	unknown
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4 - [HS90B_HUMAN]	unknown	CYTOSOL	0.921308126	CYTOSOL
Q56VL3	OCIA domain-containing protein 2 OS=Homo sapiens GN=OCIAD2 PE=1 SV=1 - [OCAD2_HUMAN]	unknown	MITOCHONDRION	0.956749586	MITOCHONDRION
P62888	60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2 - [RL30_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
P63244	Receptor of activated protein C kinase 1 OS=Homo sapiens GN=RACK1 PE=1 SV=3 - [RACK1_HUMAN]	unknown	RIBOSOME 40S	0.795510616	RIBOSOME 40S
P39019	40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2 - [RS19_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P00167	Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2 - [CYB5_HUMAN]	unknown	ER	0.938497704	ER
O43504	Ragulator complex protein LAMTOR5 OS=Homo sapiens GN=LAMTOR5 PE=1 SV=1 - [LTOR5_HUMAN]	unknown	LYSOSOME	0.4458341	unknown
Q13151	Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1 - [ROA0_HUMAN]	NUCLEUS	NUCLEUS	1	NUCLEUS
P63104	14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1 - [1433Z_HUMAN]	unknown	CYTOSOL	0.876472233	unknown
P06733	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2 - [ENOA_HUMAN]	unknown	CYTOSOL	0.90459707600000006	CYTOSOL
P04181	Ornithine aminotransferase, mitochondrial OS=Homo sapiens GN=OAT PE=1 SV=1 - [OAT_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P27797	Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1 - [CALR_HUMAN]	unknown	ER	0.960544328	ER
P06753-6	Isoform 6 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 - [TPM3_HUMAN]	unknown	CYTOSOL	0.596815272	unknown
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2 - [GRP75_HUMAN]	unknown	MITOCHONDRION	0.962379983	MITOCHONDRION
Q15149-3	Isoform 3 of Plectin OS=Homo sapiens GN=PLEC - [PLEC_HUMAN]	unknown	NUCLEUS	0.714041094	NUCLEUS
Q96B45	BLOC-1-related complex subunit 7 OS=Homo sapiens GN=BORCS7 PE=3 SV=1 - [BORC7_HUMAN]	unknown	LYSOSOME	0.538390838	unknown
Q9NRV9	Heme-binding protein 1 OS=Homo sapiens GN=HEBP1 PE=1 SV=1 - [HEBP1_HUMAN]	unknown	MITOCHONDRION	0.279435236	unknown
P13639	Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4 - [EF2_HUMAN]	unknown	RIBOSOME 40S	0.44104162	unknown
P50454	Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2 - [SERPH_HUMAN]	ER	ER	1	ER
P13010	X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3 - [XRCC5_HUMAN]	unknown	NUCLEUS	0.528393491	NUCLEUS
Q15365	Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2 - [PCBP1_HUMAN]	unknown	PROTEASOME	0.481819984	unknown
P08559	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3 - [ODPA_HUMAN]	unknown	MITOCHONDRION	0.959193857	MITOCHONDRION
Q15149	Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3 - [PLEC_HUMAN]	unknown	NUCLEUS	0.393408213	NUCLEUS
P48739	Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=1 SV=2 - [PIPNB_HUMAN]	unknown	CYTOSOL	0.880312029	unknown
Q06830	Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1 - [PRDX1_HUMAN]	unknown	NUCLEUS	0.263026903	unknown
Q01082-3	Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 - [SPTB2_HUMAN]	unknown	ER	0.743751485	unknown
P52272-2	Isoform 2 of Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM - [HNRPM_HUMAN]	unknown	NUCLEUS	0.934438027	NUCLEUS
P06748	Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2 - [NPM_HUMAN]	unknown	NUCLEUS	0.501233688	NUCLEUS
Q9Y3B7	39S ribosomal protein L11, mitochondrial OS=Homo sapiens GN=MRPL11 PE=1 SV=1 - [RM11_HUMAN]	unknown	MITOCHONDRION	0.955642067	MITOCHONDRION
P32969	60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1 - [RL9_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
O15511	Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3 - [ARPC5_HUMAN]	unknown	RIBOSOME 60S	0.356489651	unknown
O75955	Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3 - [FLOT1_HUMAN]	unknown	PM	0.631178518	unknown
P17980	26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3 - [PRS6A_HUMAN]	unknown	PROTEASOME	0.742114797	PROTEASOME
O75531	Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1 - [BAF_HUMAN]	unknown	CYTOSOL	0.225877238	unknown
O00299	Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4 - [CLIC1_HUMAN]	unknown	CYTOSOL	0.896185434	CYTOSOL
P49419-2	Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 - [AL7A1_HUMAN]	unknown	MITOCHONDRION	0.917533453	MITOCHONDRION
P50395	Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2 - [GDIB_HUMAN]	unknown	CYTOSOL	0.916958676	CYTOSOL
P02545	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1 - [LMNA_HUMAN]	unknown	MITOCHONDRION	0.611445602	unknown
Q15019	Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1 - [SEPT2_HUMAN]	unknown	MITOCHONDRION	0.384348489	unknown
P08133	Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3 - [ANXA6_HUMAN]	unknown	CYTOSOL	0.661706148	unknown
P14618-2	Isoform M1 of Pyruvate kinase PKM OS=Homo sapiens GN=PKM - [KPYM_HUMAN]	unknown	PROTEASOME	0.583640955	unknown
Q9UQB8-2	Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 - [BAIP2_HUMAN]	unknown	PM	0.709820126	unknown
P07737	Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2 - [PROF1_HUMAN]	unknown	CYTOSOL	0.914841294	CYTOSOL
